column,null_count,empty_count,unique_count,total_records,data_type,missing_percentage,duplicates
Series_reference,0,0,137,20797,object,0.0,20660
Period,0,0,297,20797,float64,0.0,20500
Data_value,1121,0,14434,20797,float64,5.390200509688897,6362
Suppressed,20797,0,0,20797,float64,100.0,20796
STATUS,0,0,4,20797,object,0.0,20793
UNITS,0,0,3,20797,object,0.0,20794
Magnitude,0,0,2,20797,int64,0.0,20795
Subject,0,0,1,20797,object,0.0,20796
Group,0,0,5,20797,object,0.0,20792
Series_title_1,0,0,3,20797,object,0.0,20794
Series_title_2,0,0,20,20797,object,0.0,20777
Series_title_3,16720,0,5,20797,object,80.39621099197,20791
Series_title_4,20797,0,0,20797,float64,100.0,20796
Series_title_5,20797,0,0,20797,float64,100.0,20796
